dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
asl_alphabet,mlp,raw,1,5,15,600,42,0.883844,0.007524,no-pretrain
asl_alphabet,mlp,raw,3,5,15,600,42,0.9376,0.005307,no-pretrain
asl_alphabet,mlp,raw,5,5,15,600,42,0.949978,0.004587,no-pretrain
libras_alphabet,mlp,raw,1,5,15,600,42,0.684067,0.009788,no-pretrain
libras_alphabet,mlp,raw,3,5,15,600,42,0.787422,0.008657,no-pretrain
libras_alphabet,mlp,raw,5,5,15,600,42,0.810756,0.008393,no-pretrain
arabic_sign_alphabet,mlp,raw,1,5,15,600,42,0.496156,0.008328,no-pretrain
arabic_sign_alphabet,mlp,raw,3,5,15,600,42,0.581533,0.008348,no-pretrain
arabic_sign_alphabet,mlp,raw,5,5,15,600,42,0.616733,0.007716,no-pretrain
asl_alphabet,mlp,angle,1,5,15,600,42,0.822156,0.008926,no-pretrain
asl_alphabet,mlp,angle,3,5,15,600,42,0.869178,0.006928,no-pretrain
asl_alphabet,mlp,angle,5,5,15,600,42,0.882333,0.006398,no-pretrain
libras_alphabet,mlp,angle,1,5,15,600,42,0.886956,0.007203,no-pretrain
libras_alphabet,mlp,angle,3,5,15,600,42,0.929089,0.005448,no-pretrain
libras_alphabet,mlp,angle,5,5,15,600,42,0.9394,0.004903,no-pretrain
arabic_sign_alphabet,mlp,angle,1,5,15,600,42,0.825933,0.008717,no-pretrain
arabic_sign_alphabet,mlp,angle,3,5,15,600,42,0.894844,0.006206,no-pretrain
arabic_sign_alphabet,mlp,angle,5,5,15,600,42,0.906511,0.005729,no-pretrain
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.900578,0.007027,no-pretrain
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.947156,0.004472,no-pretrain
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.955356,0.003847,no-pretrain
libras_alphabet,mlp,raw_angle,1,5,15,600,42,0.7004,0.0097,no-pretrain
libras_alphabet,mlp,raw_angle,3,5,15,600,42,0.823444,0.008379,no-pretrain
libras_alphabet,mlp,raw_angle,5,5,15,600,42,0.846622,0.007376,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,1,5,15,600,42,0.531511,0.008919,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,3,5,15,600,42,0.643178,0.00904,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,5,5,15,600,42,0.6858,0.008709,no-pretrain
asl_alphabet,transformer,raw,1,5,15,600,42,0.738111,0.010223,no-pretrain
asl_alphabet,transformer,raw,3,5,15,600,42,0.803533,0.008741,no-pretrain
asl_alphabet,transformer,raw,5,5,15,600,42,0.820022,0.008469,no-pretrain
libras_alphabet,transformer,raw,1,5,15,600,42,0.607044,0.009382,no-pretrain
libras_alphabet,transformer,raw,3,5,15,600,42,0.660022,0.009652,no-pretrain
libras_alphabet,transformer,raw,5,5,15,600,42,0.677489,0.009208,no-pretrain
arabic_sign_alphabet,transformer,raw,1,5,15,600,42,0.428978,0.008881,no-pretrain
arabic_sign_alphabet,transformer,raw,3,5,15,600,42,0.468111,0.009312,no-pretrain
arabic_sign_alphabet,transformer,raw,5,5,15,600,42,0.488778,0.009179,no-pretrain
asl_alphabet,transformer,angle,1,5,15,600,42,0.812156,0.009068,no-pretrain
asl_alphabet,transformer,angle,3,5,15,600,42,0.861044,0.007095,no-pretrain
asl_alphabet,transformer,angle,5,5,15,600,42,0.877044,0.006464,no-pretrain
libras_alphabet,transformer,angle,1,5,15,600,42,0.865844,0.007491,no-pretrain
libras_alphabet,transformer,angle,3,5,15,600,42,0.913133,0.005727,no-pretrain
libras_alphabet,transformer,angle,5,5,15,600,42,0.924756,0.005073,no-pretrain
arabic_sign_alphabet,transformer,angle,1,5,15,600,42,0.796778,0.009461,no-pretrain
arabic_sign_alphabet,transformer,angle,3,5,15,600,42,0.868067,0.006907,no-pretrain
arabic_sign_alphabet,transformer,angle,5,5,15,600,42,0.882467,0.006453,no-pretrain
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.904422,0.006827,no-pretrain
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.947822,0.004439,no-pretrain
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.956044,0.003818,no-pretrain
libras_alphabet,transformer,raw_angle,1,5,15,600,42,0.712911,0.010056,no-pretrain
libras_alphabet,transformer,raw_angle,3,5,15,600,42,0.828244,0.008156,no-pretrain
libras_alphabet,transformer,raw_angle,5,5,15,600,42,0.847333,0.007533,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,1,5,15,600,42,0.537,0.008772,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,3,5,15,600,42,0.611089,0.009246,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,5,5,15,600,42,0.645133,0.008741,no-pretrain
