dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
asl_alphabet,mlp,raw,1,5,15,600,42,0.886556,0.007375,no-pretrain; json-splits
asl_alphabet,mlp,raw,3,5,15,600,42,0.938444,0.005142,no-pretrain; json-splits
asl_alphabet,mlp,raw,5,5,15,600,42,0.949044,0.004462,no-pretrain; json-splits
libras_alphabet,mlp,raw,1,5,15,600,42,0.696578,0.009692,no-pretrain; json-splits
libras_alphabet,mlp,raw,3,5,15,600,42,0.788556,0.00834,no-pretrain; json-splits
libras_alphabet,mlp,raw,5,5,15,600,42,0.812444,0.007928,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,1,5,15,600,42,0.513467,0.008893,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,3,5,15,600,42,0.605844,0.00846,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,5,5,15,600,42,0.645022,0.008253,no-pretrain; json-splits
thai_fingerspelling,mlp,raw,1,5,15,600,42,0.4032,0.007464,no-pretrain; json-splits
thai_fingerspelling,mlp,raw,3,5,15,600,42,0.469889,0.007172,no-pretrain; json-splits
thai_fingerspelling,mlp,raw,5,5,15,600,42,0.488222,0.00751,no-pretrain; json-splits
asl_alphabet,mlp,angle,1,5,15,600,42,0.814822,0.008734,no-pretrain; json-splits
asl_alphabet,mlp,angle,3,5,15,600,42,0.868422,0.007142,no-pretrain; json-splits
asl_alphabet,mlp,angle,5,5,15,600,42,0.884289,0.006315,no-pretrain; json-splits
libras_alphabet,mlp,angle,1,5,15,600,42,0.891911,0.007072,no-pretrain; json-splits
libras_alphabet,mlp,angle,3,5,15,600,42,0.929267,0.005456,no-pretrain; json-splits
libras_alphabet,mlp,angle,5,5,15,600,42,0.940511,0.004715,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,1,5,15,600,42,0.811089,0.008847,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,3,5,15,600,42,0.882467,0.006328,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,5,5,15,600,42,0.898356,0.005686,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,1,5,15,600,42,0.462489,0.00827,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,3,5,15,600,42,0.511978,0.007841,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,5,5,15,600,42,0.526622,0.007818,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.904356,0.006785,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.945489,0.004575,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.954044,0.004057,no-pretrain; json-splits
libras_alphabet,mlp,raw_angle,1,5,15,600,42,0.716111,0.009759,no-pretrain; json-splits
libras_alphabet,mlp,raw_angle,3,5,15,600,42,0.822333,0.007799,no-pretrain; json-splits
libras_alphabet,mlp,raw_angle,5,5,15,600,42,0.846311,0.007657,no-pretrain; json-splits
