dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
thai_fingerspelling,mlp,raw,1,5,15,600,42,0.4032,0.007467,no-pretrain; json-splits
thai_fingerspelling,mlp,raw,3,5,15,600,42,0.469889,0.007172,no-pretrain; json-splits
thai_fingerspelling,mlp,raw,5,5,15,600,42,0.488244,0.00751,no-pretrain; json-splits
asl_alphabet,mlp,raw,1,5,15,600,42,0.825667,0.008855,no-pretrain; json-splits
asl_alphabet,mlp,raw,3,5,15,600,42,0.925311,0.004372,no-pretrain; json-splits
asl_alphabet,mlp,raw,5,5,15,600,42,0.942311,0.003203,no-pretrain; json-splits
libras_alphabet,mlp,raw,1,5,15,600,42,0.692756,0.009788,no-pretrain; json-splits
libras_alphabet,mlp,raw,3,5,15,600,42,0.784778,0.008262,no-pretrain; json-splits
libras_alphabet,mlp,raw,5,5,15,600,42,0.816756,0.00783,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,1,5,15,600,42,0.516067,0.008695,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,3,5,15,600,42,0.604756,0.008548,no-pretrain; json-splits
arabic_sign_alphabet,mlp,raw,5,5,15,600,42,0.643667,0.008261,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,1,5,15,600,42,0.462422,0.008273,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,3,5,15,600,42,0.512022,0.007845,no-pretrain; json-splits
thai_fingerspelling,mlp,angle,5,5,15,600,42,0.5266,0.007821,no-pretrain; json-splits
asl_alphabet,mlp,angle,1,5,15,600,42,0.863822,0.009031,no-pretrain; json-splits
asl_alphabet,mlp,angle,3,5,15,600,42,0.940356,0.005478,no-pretrain; json-splits
asl_alphabet,mlp,angle,5,5,15,600,42,0.924111,0.00588,no-pretrain; json-splits
libras_alphabet,mlp,angle,1,5,15,600,42,0.891711,0.007088,no-pretrain; json-splits
libras_alphabet,mlp,angle,3,5,15,600,42,0.931667,0.005208,no-pretrain; json-splits
libras_alphabet,mlp,angle,5,5,15,600,42,0.945267,0.004545,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,1,5,15,600,42,0.812933,0.008695,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,3,5,15,600,42,0.8826,0.006301,no-pretrain; json-splits
arabic_sign_alphabet,mlp,angle,5,5,15,600,42,0.898711,0.005713,no-pretrain; json-splits
thai_fingerspelling,mlp,raw_angle,1,5,15,600,42,0.433667,0.007618,no-pretrain; json-splits
thai_fingerspelling,mlp,raw_angle,3,5,15,600,42,0.501667,0.007549,no-pretrain; json-splits
thai_fingerspelling,mlp,raw_angle,5,5,15,600,42,0.519089,0.007778,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.886956,0.008114,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.970422,0.002991,no-pretrain; json-splits
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.973778,0.002273,no-pretrain; json-splits
