dataset,encoder,representation,n_way,k_shot,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
asl_alphabet,mlp,raw,5,1,5,5,100,100,5,5,0.933200,0.018142,0.163610,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_1shot.pt
asl_alphabet,mlp,raw,5,3,5,5,100,100,5,5,0.975600,0.008181,0.069781,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_3shot.pt
asl_alphabet,mlp,raw,5,5,5,5,100,100,5,5,0.987600,0.005538,0.056099,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_5shot.pt
arabic_sign_alphabet,mlp,raw,5,1,5,5,100,100,5,5,0.891200,0.019591,0.311477,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_1shot.pt
arabic_sign_alphabet,mlp,raw,5,3,5,5,100,100,5,5,0.940400,0.014929,0.167833,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_3shot.pt
arabic_sign_alphabet,mlp,raw,5,5,5,5,100,100,5,5,0.942800,0.013476,0.150324,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_5shot.pt
libras_alphabet,mlp,raw,5,1,5,5,100,100,5,5,0.958400,0.014092,0.118394,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_1shot.pt
libras_alphabet,mlp,raw,5,3,5,5,100,100,5,5,0.980800,0.008225,0.068612,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_3shot.pt
libras_alphabet,mlp,raw,5,5,5,5,100,100,5,5,0.982000,0.008141,0.056115,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_5shot.pt
thai_fingerspelling,mlp,raw,5,1,5,5,100,100,5,5,0.655200,0.030756,1.002689,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_1shot.pt
thai_fingerspelling,mlp,raw,5,3,5,5,100,100,5,5,0.750400,0.025168,0.685914,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_3shot.pt
thai_fingerspelling,mlp,raw,5,5,5,5,100,100,5,5,0.777600,0.021588,0.613857,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_5shot.pt
asl_alphabet,mlp,angle,5,1,5,5,100,100,5,5,0.921200,0.017949,0.175429,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_1shot.pt
asl_alphabet,mlp,angle,5,3,5,5,100,100,5,5,0.960000,0.012258,0.117089,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_3shot.pt
asl_alphabet,mlp,angle,5,5,5,5,100,100,5,5,0.976000,0.007720,0.091062,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_5shot.pt
arabic_sign_alphabet,mlp,angle,5,1,5,5,100,100,5,5,0.886400,0.021223,0.310010,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_1shot.pt
