dataset,encoder,representation,n_way,k_shot,seed,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
asl_alphabet,mlp,raw,5,1,42,5,5,600,600,5,5,0.978733,0.003965,0.054886,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_1shot.pt
asl_alphabet,mlp,raw,5,3,42,5,5,600,600,5,5,0.988467,0.002408,0.030634,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_3shot.pt
asl_alphabet,mlp,raw,5,5,42,5,5,600,600,5,5,0.990400,0.002015,0.026187,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_5shot.pt
arabic_sign_alphabet,mlp,raw,5,1,42,5,5,600,600,5,5,0.950667,0.006108,0.150115,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_1shot.pt
arabic_sign_alphabet,mlp,raw,5,3,42,5,5,600,600,5,5,0.976333,0.003372,0.068237,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_3shot.pt
arabic_sign_alphabet,mlp,raw,5,5,42,5,5,600,600,5,5,0.981667,0.002832,0.055038,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_5shot.pt
libras_alphabet,mlp,raw,5,1,42,5,5,600,600,5,5,0.981933,0.003854,0.037963,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_1shot.pt
libras_alphabet,mlp,raw,5,3,42,5,5,600,600,5,5,0.991600,0.002452,0.021157,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_3shot.pt
libras_alphabet,mlp,raw,5,5,42,5,5,600,600,5,5,0.993200,0.002222,0.017228,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_5shot.pt
thai_fingerspelling,mlp,raw,5,1,42,5,5,600,600,5,5,0.768133,0.011217,0.699088,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_1shot.pt
thai_fingerspelling,mlp,raw,5,3,42,5,5,600,600,5,5,0.850400,0.008940,0.423093,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_3shot.pt
thai_fingerspelling,mlp,raw,5,5,42,5,5,600,600,5,5,0.864467,0.008382,0.382676,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_5shot.pt
asl_alphabet,mlp,angle,5,1,42,5,5,600,600,5,5,0.954200,0.005904,0.109422,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_1shot.pt
asl_alphabet,mlp,angle,5,3,42,5,5,600,600,5,5,0.980467,0.002982,0.062898,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_3shot.pt
asl_alphabet,mlp,angle,5,5,42,5,5,600,600,5,5,0.982000,0.002788,0.060722,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_5shot.pt
arabic_sign_alphabet,mlp,angle,5,1,42,5,5,600,600,5,5,0.930067,0.006824,0.228411,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_1shot.pt
arabic_sign_alphabet,mlp,angle,5,3,42,5,5,600,600,5,5,0.957533,0.004647,0.120007,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_3shot.pt
arabic_sign_alphabet,mlp,angle,5,5,42,5,5,600,600,5,5,0.961267,0.004527,0.113372,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_5shot.pt
libras_alphabet,mlp,angle,5,1,42,5,5,600,600,5,5,0.985733,0.003066,0.038326,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_1shot.pt
libras_alphabet,mlp,angle,5,3,42,5,5,600,600,5,5,0.993267,0.001633,0.021669,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_3shot.pt
libras_alphabet,mlp,angle,5,5,42,5,5,600,600,5,5,0.995067,0.001287,0.016510,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_5shot.pt
thai_fingerspelling,mlp,angle,5,1,42,5,5,600,600,5,5,0.734000,0.011633,0.778291,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_1shot.pt
thai_fingerspelling,mlp,angle,5,3,42,5,5,600,600,5,5,0.821000,0.009174,0.509510,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_3shot.pt
thai_fingerspelling,mlp,angle,5,5,42,5,5,600,600,5,5,0.837200,0.008626,0.451953,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_5shot.pt
asl_alphabet,mlp,raw_angle,5,1,42,5,5,600,600,5,5,0.977267,0.004200,0.058112,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_1shot.pt
asl_alphabet,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.987133,0.002808,0.033833,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_3shot.pt
asl_alphabet,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.987000,0.002888,0.031778,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_5shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,1,42,5,5,600,600,5,5,0.962067,0.005337,0.122473,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_1shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.982133,0.002872,0.056350,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_3shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.984133,0.002507,0.050055,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_5shot.pt
libras_alphabet,mlp,raw_angle,5,1,42,5,5,600,600,5,5,0.987333,0.003298,0.026609,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_1shot.pt
libras_alphabet,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.995667,0.001307,0.014371,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_3shot.pt
libras_alphabet,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.997067,0.000985,0.010254,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_5shot.pt
thai_fingerspelling,mlp,raw_angle,5,1,42,5,5,600,600,5,5,0.792400,0.010748,0.629154,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_1shot.pt
thai_fingerspelling,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.868200,0.008136,0.377666,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_3shot.pt
thai_fingerspelling,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.878467,0.007942,0.344632,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_5shot.pt
asl_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.962067,0.005699,0.090412,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_1shot.pt
asl_alphabet,transformer,raw,5,3,42,5,5,600,600,5,5,0.987400,0.002773,0.035615,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_3shot.pt
asl_alphabet,transformer,raw,5,5,42,5,5,600,600,5,5,0.988600,0.002362,0.035478,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_5shot.pt
arabic_sign_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.934000,0.007087,0.196465,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_1shot.pt
arabic_sign_alphabet,transformer,raw,5,3,42,5,5,600,600,5,5,0.968000,0.004140,0.092714,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_3shot.pt
arabic_sign_alphabet,transformer,raw,5,5,42,5,5,600,600,5,5,0.977733,0.003144,0.069431,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_5shot.pt
libras_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.971933,0.005121,0.058283,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_1shot.pt
