dataset,encoder,representation,k_shot,seeds,n_seeds,accuracy_mean,accuracy_std,mean_episode_ci95
asl_alphabet,mlp,raw,1,42 1337 2024,3,0.979222,0.000847,0.003971
asl_alphabet,mlp,raw,3,42 1337 2024,3,0.988245,0.001347,0.002439
asl_alphabet,mlp,raw,5,42 1337 2024,3,0.990445,0.001201,0.002028
asl_alphabet,mlp,angle,1,42 1337 2024,3,0.950333,0.005853,0.006253
asl_alphabet,mlp,angle,3,42 1337 2024,3,0.975511,0.004292,0.003603
asl_alphabet,mlp,angle,5,42 1337 2024,3,0.978133,0.003557,0.003222
asl_alphabet,mlp,raw_angle,1,42 1337 2024,3,0.977778,0.002604,0.004199
asl_alphabet,mlp,raw_angle,3,42 1337 2024,3,0.986889,0.000214,0.002791
asl_alphabet,mlp,raw_angle,5,42 1337 2024,3,0.988022,0.000971,0.002566
asl_alphabet,transformer,raw,1,42 1337 2024,3,0.967000,0.006781,0.005164
asl_alphabet,transformer,raw,3,42 1337 2024,3,0.986222,0.002395,0.002788
asl_alphabet,transformer,raw,5,42 1337 2024,3,0.987133,0.001659,0.002563
asl_alphabet,transformer,angle,1,42 1337 2024,3,0.943445,0.005624,0.006680
asl_alphabet,transformer,angle,3,42 1337 2024,3,0.968822,0.003063,0.004322
asl_alphabet,transformer,angle,5,42 1337 2024,3,0.974400,0.001906,0.003610
asl_alphabet,transformer,raw_angle,1,42 1337 2024,3,0.980467,0.001179,0.003859
asl_alphabet,transformer,raw_angle,3,42 1337 2024,3,0.986933,0.000546,0.002751
asl_alphabet,transformer,raw_angle,5,42 1337 2024,3,0.988511,0.000329,0.002450
arabic_sign_alphabet,mlp,raw,1,42 1337 2024,3,0.949822,0.000735,0.005989
arabic_sign_alphabet,mlp,raw,3,42 1337 2024,3,0.975911,0.001673,0.003232
arabic_sign_alphabet,mlp,raw,5,42 1337 2024,3,0.979978,0.002217,0.002781
arabic_sign_alphabet,mlp,angle,1,42 1337 2024,3,0.932356,0.002446,0.006698
arabic_sign_alphabet,mlp,angle,3,42 1337 2024,3,0.959533,0.001737,0.004463
arabic_sign_alphabet,mlp,angle,5,42 1337 2024,3,0.963111,0.001625,0.004274
arabic_sign_alphabet,mlp,raw_angle,1,42 1337 2024,3,0.959422,0.002541,0.005317
arabic_sign_alphabet,mlp,raw_angle,3,42 1337 2024,3,0.981066,0.000945,0.002726
arabic_sign_alphabet,mlp,raw_angle,5,42 1337 2024,3,0.983844,0.000444,0.002431
